,Unnamed: 0_x,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
0,1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,photo,studying,negative,0
1,2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,photo,studying,negative,10
2,3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,photo,studying,negative,15
3,4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,photo,studying,negative,0
4,5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,photo,studying,positive,30
5,6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,photo,studying,neutral,35
6,7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,photo,studying,positive,70
7,8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,photo,studying,negative,5
8,9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,photo,studying,neutral,35
9,10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04 05:05:02,photo,studying,positive,65
10,11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,photo,studying,neutral,20
11,12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,photo,studying,negative,15
12,13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21,photo,studying,positive,30
13,14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,photo,studying,negative,5
14,15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,photo,studying,negative,15
15,16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23,photo,studying,positive,75
16,17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11,photo,studying,neutral,35
17,18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,photo,studying,neutral,20
18,19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,photo,studying,positive,30
19,20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31 16:03:56,photo,studying,positive,45
20,21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,photo,studying,neutral,35
21,22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,photo,studying,negative,12
22,23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,photo,studying,positive,50
23,24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,photo,studying,positive,60
24,25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,photo,studying,negative,12
25,26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,photo,studying,negative,5
26,27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,photo,studying,negative,5
27,28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,photo,studying,positive,70
28,29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20,photo,studying,positive,75
29,30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2020-08-25 08:21:56,photo,studying,positive,45
30,31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,photo,studying,negative,15
31,32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,photo,studying,positive,30
32,33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13,photo,studying,neutral,20
